seed,fold,model,acc,macro_f1,event_f1,event_prec,event_rec
0,4,abl_word_tb,0.7504363001745201,0.6691497285127367,0.8746803069053708,0.8300970873786407,0.9243243243243243
0,4,abl_char_tb_bk,0.7521815008726004,0.6988073127929337,0.8481675392670157,0.8223350253807107,0.8756756756756757
1,0,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
1,0,base_random,0.1916376306620209,0.17126659934017177,0.21201413427561838,0.30303030303030304,0.16304347826086957
1,0,base_keyword,0.3240418118466899,0.17242933569232063,0.49222797927461137,0.47029702970297027,0.5163043478260869
1,0,proposed_char_tb,0.7874564459930313,0.7227527823400465,0.8517520215633423,0.8449197860962567,0.8586956521739131
1,0,proposed@산업,0.8275862068965517,0.687478489838303,0.8928571428571429,,
1,0,proposed@안보,0.7040816326530612,0.6426316908844514,0.5714285714285714,,
1,0,proposed@비CBRN,0.8333333333333334,0.7703463203463203,0.8690476190476191,,
1,0,abl_char_title,0.7317073170731707,0.6521543024717769,0.8225806451612904,0.8138297872340425,0.8315217391304348
1,0,abl_word_tb,0.7717770034843205,0.7273260589753525,0.8556430446194225,0.8274111675126904,0.8858695652173914
1,0,abl_char_tb_bk,0.7700348432055749,0.7035590555493023,0.8555858310626703,0.8579234972677595,0.8532608695652174
1,1,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
1,1,base_random,0.2038327526132404,0.18667586293809907,0.2679738562091503,0.3360655737704918,0.22282608695652173
1,1,base_keyword,0.3240418118466899,0.17465680649411364,0.521505376344086,0.5159574468085106,0.5271739130434783
1,1,proposed_char_tb,0.764808362369338,0.703438465849948,0.8532608695652174,0.8532608695652174,0.8532608695652174
1,1,proposed@산업,0.8333333333333334,0.6648631946037067,0.906832298136646,,
1,1,proposed@안보,0.6728395061728395,0.5677345116450336,0.18181818181818182,,
1,1,proposed@비CBRN,0.7710280373831776,0.7110333516772591,0.8864864864864865,,
1,1,abl_char_title,0.7160278745644599,0.6099313986822195,0.8333333333333334,0.8522727272727273,0.8152173913043478
1,1,abl_word_tb,0.735191637630662,0.6658134093168654,0.8346883468834688,0.8324324324324325,0.8369565217391305
1,1,abl_char_tb_bk,0.7526132404181185,0.683624242766406,0.8467966573816156,0.8685714285714285,0.8260869565217391
1,2,base_majority,0.32111692844677137,0.09722589167767504,0.4861294583883752,0.32111692844677137,1.0
1,2,base_random,0.2006980802792321,0.18789670273014553,0.2576271186440678,0.34234234234234234,0.20652173913043478
1,2,base_keyword,0.3228621291448517,0.17299681450624846,0.5013477088948787,0.49732620320855614,0.5054347826086957
1,2,proposed_char_tb,0.7417102966841187,0.6866868525575633,0.8616187989556136,0.8291457286432161,0.8967391304347826
1,2,proposed@산업,0.8333333333333334,0.7287694977864818,0.9080459770114943,,
1,2,proposed@안보,0.6216216216216216,0.4931020149995482,0.5333333333333333,,
1,2,proposed@비CBRN,0.7653061224489796,0.7078040120606348,0.8715083798882681,,
1,2,abl_char_title,0.7277486910994765,0.6565024812682462,0.8457446808510638,0.828125,0.8641304347826086
1,2,abl_word_tb,0.7329842931937173,0.6523499579172465,0.856396866840731,0.8241206030150754,0.8913043478260869
1,2,abl_char_tb_bk,0.7399650959860384,0.6849956437894009,0.8645833333333334,0.83,0.9021739130434783
1,3,base_majority,0.3228621291448517,0.09762532981530343,0.48812664907651715,0.3228621291448517,1.0
1,3,base_random,0.1762652705061082,0.16311874956268407,0.19333333333333333,0.25217391304347825,0.15675675675675677
1,3,base_keyword,0.32460732984293195,0.17329686513780768,0.5154639175257731,0.49261083743842365,0.5405405405405406
1,3,proposed_char_tb,0.774869109947644,0.7392990807763544,0.875,0.8797814207650273,0.8702702702702703
1,3,proposed@산업,0.8817733990147784,0.8371755406073044,0.9273743016759777,,
1,3,proposed@안보,0.6629834254143646,0.6396883021055684,0.46153846153846156,,
1,3,proposed@비CBRN,0.7671957671957672,0.6950717879202261,0.8834355828220859,,
1,3,abl_char_title,0.7242582897033158,0.6501991929006071,0.8279569892473119,0.8235294117647058,0.8324324324324325
1,3,abl_word_tb,0.7399650959860384,0.6898295122470409,0.870026525198939,0.8541666666666666,0.8864864864864865
1,3,abl_char_tb_bk,0.7539267015706806,0.7091645990956327,0.859504132231405,0.8764044943820225,0.8432432432432433
1,4,base_majority,0.3228621291448517,0.09762532981530343,0.48812664907651715,0.3228621291448517,1.0
1,4,base_random,0.2006980802792321,0.17864245693012662,0.2689655172413793,0.37142857142857144,0.21081081081081082
1,4,base_keyword,0.31413612565445026,0.16925485183159011,0.4871060171919771,0.5182926829268293,0.4594594594594595
1,4,proposed_char_tb,0.7696335078534031,0.7301408658590168,0.8641304347826086,0.8688524590163934,0.8594594594594595
1,4,proposed@산업,0.86,0.816185817324859,0.9318181818181818,,
